country,location_name,latitude,longitude,YEAR,MO,DY,HR,T2M,PRECTOTCORR,WS10M,WS50M,WD10M,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
India,Mumbai,19.07,72.87,2025,8,8,14,28.63,33.62,3.64,3.91,268.4,78.82,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,15,27.98,35.52,3.49,3.85,265.2,80.86,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,16,27.41,29.95,3.22,3.69,267.3,82.97,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,17,26.79,26.08,2.63,3.37,268.5,86.3,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,18,26.12,22.78,1.68,3.02,263.5,91.76,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,19,25.73,8.43,1.34,2.54,254.8,93.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,20,25.59,5.76,1.21,2.12,242,94.1,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,21,25.49,2.09,1.2,2.02,222.3,94.14,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,22,25.33,2.08,1.29,2.21,209.7,94.62,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,8,23,25.16,1.87,1.29,2.22,204.2,95.12,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,0,25.01,15.51,1.23,2.05,208.6,95.3,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,1,24.89,17.17,1.19,1.9,219.2,94.94,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,2,24.74,12.35,1.24,1.99,224,94.95,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,3,24.63,4.96,1.31,2.17,229.6,95.11,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,4,24.64,1.31,1.17,1.82,232.6,94.08,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,5,24.85,0.9,0.77,1.1,226.6,91.4,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,6,24.99,2.48,0.53,0.72,185.4,90.52,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,7,25.42,2.6,0.72,0.88,167.9,90.11,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,8,26.03,2.93,0.86,0.92,180,86.45,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,9,26.94,5.22,1.23,1.34,217.7,82.8,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,10,27.69,7.15,1.82,1.96,240.3,79.83,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,11,28.33,9.4,2.38,2.52,251.6,78.05,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,12,28.8,10.02,2.84,3,258.8,76.51,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,13,29.06,8.87,3.18,3.35,265.1,75.92,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,14,28.95,12.06,3.46,3.69,270.2,76.36,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,15,28.47,21.72,3.61,3.93,274,77.74,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,16,27.81,19.65,3.63,4.09,278.2,79.85,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,17,26.95,8.63,3.15,3.87,283.4,83.77,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,18,25.98,0.13,2,3.47,285.4,90.75,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,19,25.37,0.15,1.61,3.17,280.4,93.76,-999,-999,-999
India,Mumbai,19.07,72.87,2025,8,9,20,25.13,0.15,1.38,2.35,269.2,93.94,-999,-999,-999
